,Symbol,Company Name
883,BALAJITELE,Balaji Telefilms Limited
884,HARITASEAT,Harita Seating Systems Limited
885,NATHBIOGEN,Nath Bio-Genes (India) Limited
886,KABRAEXTRU,Kabra Extrusion Technik Limited
887,VSSL,Vardhman Special Steels Limited
888,VHL,Vardhman Holdings Limited
889,NELCAST,Nelcast Limited
890,MUNJALSHOW,Munjal Showa Limited
891,RGL,Renaissance Global Limited
892,CENTENKA,Century Enka Limited
893,KOKUYOCMLN,Kokuyo Camlin Limited
894,RIIL,Reliance Industrial Infrastructure Limited
895,MIRZAINT,Mirza International Limited
896,PATELENG,Patel Engineering Limited
897,NSIL,Nalwa Sons Investments Limited
898,EXPLEOSOL,Expleo Solutions Limited
899,MUNJALAU,Munjal Auto Industries Limited
900,RAMKY,Ramky Infrastructure Limited
901,APCL,Anjani Portland Cement Limited
902,UNIDT,United Drilling Tools Limited
903,TWL,Titagarh Wagons Limited
904,GAYAPROJ,Gayatri Projects Limited
905,EBIXFOREX,EBIXCASH WORLD MONEY INDIA LIMITED
906,SHALPAINTS,Shalimar Paints Limited
907,BALAXI,BALAXI PHARMACEUTICALS LIMITED
908,ORIENTPPR,Orient Paper & Industries Limited
909,ARMANFIN,Arman Financial Services Limited
910,RML,Rane (Madras) Limited
911,AMBIKCO,Ambika Cotton Mills Limited
912,SALASAR,Salasar Techno Engineering Limited
913,TFCILTD,Tourism Finance Corporation of India Limited
914,JAYBARMARU,Jay Bharat Maruti Limited
915,INDRAMEDCO,Indraprastha Medical Corporation Limited
916,DHFL,Dewan Housing Finance Corporation Limited
917,SANDESH,The Sandesh Limited
918,CENTUM,Centum Electronics Limited
919,SUULD,Suumaya Industries Limited
920,HTMEDIA,HT Media Limited
921,ALLSEC,Allsec Technologies Limited
922,NBIFIN,N. B. I. Industrial Finance Company Limited
923,RICOAUTO,Rico Auto Industries Limited
924,STEELXIND,STEEL EXCHANGE INDIA LIMITED
925,THEINVEST,The Investment Trust Of India Limited
926,RCOM,Reliance Communications Limited
927,MONTECARLO,Monte Carlo Fashions Limited
928,NAVKARCORP,Navkar Corporation Limited
929,BINDALAGRO,Oswal Chemicals & Fertilizers Limited
930,TDPOWERSYS,TD Power Systems Limited
931,MANINDS,Man Industries (India) Limited
932,KOPRAN,Kopran Limited
933,NITINSPIN,Nitin Spinners Limited
934,LINCOLN,Lincoln Pharmaceuticals Limited
935,EVERESTIND,Everest Industries Limited
936,PRECWIRE,Precision Wires India Limited
937,SATIN,Satin Creditcare Network Limited
938,STCINDIA,The State Trading Corporation of India Limited
939,ASIANTILES,Asian Granito India Limited
940,VISHWARAJ,Vishwaraj Sugar Industries Limited
941,HMVL,Hindustan Media Ventures Limited
942,RSWM,RSWM Limited
943,TNPETRO,Tamilnadu PetroProducts Limited
944,UNIVCABLES,Universal Cables Limited
945,SANGHVIMOV,Sanghvi Movers Limited
946,SORILINFRA,SORIL Infra Resources Limited
947,HITECH,Hi-Tech Pipes Limited
948,GULPOLY,Gulshan Polyols Limited
949,UNITECH,Unitech Limited
950,NELCO,NELCO Limited
951,V2RETAIL,V2 Retail Limited
952,INDSWFTLAB,Ind-Swift Laboratories Limited
953,REPRO,Repro India Limited
954,SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited
955,BCG,Brightcom Group Limited
956,AJMERA,Ajmera Realty & Infra India Limited
957,NECLIFE,Nectar Lifesciences Limited
958,BLKASHYAP,B. L. Kashyap and Sons Limited
959,RUSHIL,Rushil Decor Limited
960,TBZ,Tribhovandas Bhimji Zaveri Limited
961,THEJO,Thejo Engineering Limited
962,HEXATRADEX,Hexa Tradex Limited
963,JAYAGROGN,Jayant Agro Organics Limited
964,ADORWELD,Ador Welding Limited
965,PILITA,PIL ITALICA LIFESTYLE LIMITED
966,MADRASFERT,Madras Fertilizers Limited
967,ORIENTHOT,Oriental Hotels Limited
968,TCPLPACK,TCPL Packaging Limited
969,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited
970,JAIBALAJI,Jai Balaji Industries Limited
971,NRAIL,N R Agarwal Industries Limited
972,KANORICHEM,Kanoria Chemicals & Industries Limited
973,MAHEPC,Mahindra EPC Irrigation Limited
974,CONTROLPR,Control Print Limited
975,SPAL,S. P. Apparels Limited
976,ATULAUTO,Atul Auto Limited
977,HINDCOMPOS,Hindustan Composites Limited
978,SHRIRAMEPC,Shriram EPC Limited
979,KAYA,Kaya Limited
980,ROSSELLIND,Rossell India Limited
981,ZUARI,Zuari Agro Chemicals Limited
982,ASAHISONG,Asahi Songwon Colors Limited
983,IFBAGRO,IFB Agro Industries Limited
984,SAKSOFT,Saksoft Limited
985,PRECAM,Precision Camshafts Limited
986,NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited
987,NAHARSPING,Nahar Spinning Mills Limited
988,KAMDHENU,Kamdhenu Limited
989,DHANBANK,Dhanlaxmi Bank Limited
990,DLINKINDIA,D-Link (India) Limited
991,PARSVNATH,Parsvnath Developers Limited
992,SCHAND,S Chand And Company Limited
993,PGIL,Pearl Global Industries Limited
994,AVADHSUGAR,Avadh Sugar & Energy Limited
995,SASTASUNDR,Sastasundar Ventures Limited
996,TI,Tilaknagar Industries Limited
997,NDTV,New Delhi Television Limited
998,HLVLTD,HLV LIMITED
999,FEL,Future Enterprises Limited
1000,DICIND,DIC India Limited
1001,JASH,Jash Engineering Limited
1002,VIMTALABS,Vimta Labs Limited
1003,HERCULES,Hercules Hoists Limited
1004,XELPMOC,Xelpmoc Design And Tech Limited
1005,AKASH,Akash Infra-Projects Limited
1006,GALLANTT,Gallantt Metal Limited
1007,VIPULLTD,Vipul Limited
1008,REPL,Rudrabhishek Enterprises Limited
1009,SREEL,Sreeleathers Limited
1010,GANDHITUBE,Gandhi Special Tubes Limited
1011,INFOBEAN,InfoBeans Technologies Limited
1012,UTTAMSUGAR,Uttam Sugar Mills Limited
1013,DVL,Dhunseri Ventures Limited
1014,MAXIND,Max India Limited
1015,ARVSMART,Arvind SmartSpaces Limited
1016,ZOTA,Zota Health Care LImited
1017,VENUSREM,Venus Remedies Limited
1018,VISHNU,Vishnu Chemicals Limited
1019,ZEELEARN,Zee Learn Limited
1020,GOKEX,Gokaldas Exports Limited
1021,KDDL,KDDL Limited
1022,CYBERTECH,Cybertech Systems And Software Limited
1023,URJA,Urja Global Limited
1024,MANAKSIA,Manaksia Limited
1025,VASCONEQ,Vascon Engineers Limited
1026,BAFNAPH,Bafna Pharmaceuticals Limited
1027,BIRLATYRE,Birla Tyres Limited
1028,VERTOZ,Vertoz Advertising Limited
1029,GENESYS,Genesys International Corporation Limited
1030,HITECHGEAR,The Hi-Tech Gears Limited
1031,SANGAMIND,Sangam (India) Limited
1032,63MOONS,63 moons technologies limited
1033,VLSFINANCE,VLS Finance Limited
1034,BGRENERGY,BGR Energy Systems Limited
1035,AURIONPRO,Aurionpro Solutions Limited
1036,HPL,HPL Electric & Power Limited
1037,UCALFUEL,Ucal Fuel Systems Limited
1038,MIRCELECTR,MIRC Electronics Limited
1039,SWELECTES,Swelect Energy Systems Limited
1040,PPL,Prakash Pipes Limited
1041,ASHIMASYN,Ashima Limited
1042,ZEEMEDIA,Zee Media Corporation Limited
1043,MENONBE,Menon Bearings Limited
1044,GKWLIMITED,GKW Limited
1045,VARDHACRLC,Vardhman Acrylics Limited
1046,ORIENTBELL,Orient Bell Limited
1047,GSCLCEMENT,Gujarat Sidhee Cement Limited
1048,HCL-INSYS,HCL Infosystems Limited
1049,ARTEMISMED,Artemis Medicare Services Limited
1050,MEP,MEP Infrastructure Developers Limited
1051,HINDNATGLS,Hindusthan National Glass & Industries Limited
1052,MARATHON,Marathon Nextgen Realty Limited
1053,MSPL,MSP Steel & Power Limited
1054,ORICONENT,Oricon Enterprises Limited
1055,JUBLINDS,Jubilant Industries Limited
1056,CUPID,Cupid Limited
1057,FSC,Future Supply Chain Solutions Limited
1058,PPAP,PPAP Automotive Limited
1059,RUBYMILLS,The Ruby Mills Limited
1060,GANESHHOUC,Ganesh Housing Corporation Limited
1061,NAHARPOLY,Nahar Poly Films Limited
1062,RELCAPITAL,Reliance Capital Limited
1063,GOKULAGRO,Gokul Agro Resources Limited
1064,NIPPOBATRY,Indo-National Limited
1065,KHADIM,Khadim India Limited
1066,ADVANIHOTR,Advani Hotels & Resorts (India) Limited
1067,AHLWEST,Asian Hotels (West) Limited
1068,DPABHUSHAN,D. P. Abhushan Limited
1069,JINDRILL,Jindal Drilling And Industries Limited
1070,BCLIND,Bcl Industries Limited
1071,THEMISMED,Themis Medicare Limited
1072,GUJAPOLLO,Gujarat Apollo Industries Limited
1073,HARRMALAYA,Harrisons  Malayalam Limited
1074,PTL,PTL Enterprises Limited
1075,CHEMBOND,Chembond Chemicals Ltd
1076,PROZONINTU,Prozone Intu Properties Limited
1077,SREINFRA,SREI Infrastructure Finance Limited
1078,GOACARBON,Goa Carbon Limited
1079,TALBROAUTO,Talbros Automotive Components Limited
1080,ORIENTABRA,Orient Abrasives Limited
1081,INVENTURE,Inventure Growth & Securities Limited
1082,RAMANEWS,Shree Rama Newsprint Limited
1083,MCL,Madhav Copper Limited
1084,LASA,Lasa Supergenerics Limited
1085,CREST,Crest Ventures Limited
1086,BRNL,Bharat Road Network Limited
1087,EROSMEDIA,Eros International Media Limited
1088,MODIRUBBER,Modi Rubber Limited
1089,WALCHANNAG,Walchandnagar Industries Limited
1090,TVSELECT,TVS Electronics Limited
1091,CAREERP,Career Point Limited
1092,ZUARIGLOB,Zuari Global Limited
1093,SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED
1094,KRISHANA,Krishana Phoschem Limited
1095,AYMSYNTEX,AYM Syntex Limited
1096,PENIND,Pennar Industries Limited
1097,BIRLAMONEY,Aditya Birla Money Limited
1098,PDMJEPAPER,Pudumjee Paper Products Limited
1099,KOTARISUG,Kothari Sugars And Chemicals Limited
1100,ALANKIT,Alankit Limited
1101,PENINLAND,Peninsula Land Limited
1102,GIRRESORTS,GIR Natureview Resorts Limited
1103,HDIL,Housing Development and Infrastructure Limited
1104,LINCPEN,Linc Pen & Plastics Limited
1105,JPINFRATEC,Jaypee Infratech Limited
1106,VETO,Veto Switchgears And Cables Limited
1107,MAHESHWARI,Maheshwari Logistics Limited
1108,ADSL,Allied Digital Services Limited
1109,RNAVAL,Reliance Naval and Engineering Limited
1110,TRIL,Transformers And Rectifiers (India) Limited
1111,OMINFRAL,OM INFRA LIMITED
1112,LIBERTSHOE,Liberty Shoes Limited
1113,MMP,MMP Industries Limited
1114,MBAPL,Madhya Bharat Agro Products Limited
1115,ALBERTDAVD,Albert David Limited
1116,BRFL,Bombay Rayon Fashions Limited
1117,VINYLINDIA,Vinyl Chemicals (India) Limited
1118,PITTIENG,Pitti Engineering Limited
1119,KHAICHEM,Khaitan Chemicals & Fertilizers Limited
1120,HITECHCORP,Hitech Corporation Limited
1121,GEECEE,GeeCee Ventures Limited
1122,SDBL,Som Distilleries & Breweries Limited
1123,SPTL,Sintex Plastics Technology Limited
1124,JAGSNPHARM,Jagsonpal Pharmaceuticals Limited
1125,ZODIACLOTH,Zodiac Clothing Company Limited
1126,MBLINFRA,MBL Infrastructures Limited
1127,BIL,Bhartiya International Limited
1128,KANPRPLA,Kanpur Plastipack Limited
1129,SILINV,SIL Investments Limited
1130,WANBURY,Wanbury Limited
1131,SINTERCOM,Sintercom India Limited
1132,SELAN,Selan Exploration Technology Limited
1133,SARLAPOLY,Sarla Performance Fibers Limited
1134,SINTEX,Sintex Industries Limited
1135,PODDARMENT,Poddar Pigments Limited
1136,MCLEODRUSS,Mcleod Russel India Limited
1137,WINDMACHIN,Windsor Machines Limited
1138,UFO,UFO Moviez India Limited
1139,HIRECT,Hind Rectifiers Limited
1140,REFEX,Refex Industries Limited
1141,SALZERELEC,Salzer Electronics Limited
1142,VIKASMCORP,Vikas Multicorp Limited
1143,UGARSUGAR,The Ugar Sugar Works Limited
1144,AIRAN,Airan Limited
1145,EIMCOELECO,Eimco Elecon (India) Limited
1146,BASML,Bannari Amman Spinning Mills Limited
1147,EIFFL,Euro India Fresh Foods Limited
1148,JAYSREETEA,Jayshree Tea & Industries Limited
1149,ASTRON,Astron Paper & Board Mill Limited
1150,TRIGYN,Trigyn Technologies Limited
1151,AKSHARCHEM,AksharChem India Limited
1152,APOLLO,Apollo Micro Systems Limited
1153,KOTHARIPRO,Kothari Products Limited
1154,MAJESCO,Majesco Limited
1155,STARPAPER,Star Paper Mills Limited
1156,SETCO,Setco Automotive Limited
1157,ONWARDTEC,Onward Technologies Limited
1158,GENCON,Generic Engineering Construction and Projects Limited
1159,CONSOFINVT,Consolidated Finvest & Holdings Limited
1160,GULFPETRO,GP Petroleums Limited
1161,SHIVATEX,Shiva Texyarn Limited
1162,GENUSPAPER,Genus Paper & Boards Limited
1163,AHLEAST,Asian Hotels (East) Limited
1164,BIRLACABLE,Birla Cable Limited
1165,MAZDA,Mazda Limited
1166,DTIL,Dhunseri Tea & Industries Limited
1167,SHIVAMAUTO,Shivam Autotech Limited
1168,GOKUL,Gokul Refoils and Solvent Limited
1169,SPECIALITY,Speciality Restaurants Limited
1170,CHEMFAB,Chemfab Alkalis Limited
1171,INSPIRISYS,Inspirisys Solutions Limited
1172,SHEMAROO,Shemaroo Entertainment Limited
1173,SAKAR,Sakar Healthcare Limited
1174,RANEENGINE,Rane Engine Valve Limited
1175,NAHARINDUS,Nahar Industrial Enterprises Limited
1176,NAHARCAP,Nahar Capital and Financial Services Limited
1177,SIMPLEXINF,Simplex Infrastructures Limited
1178,UNIVPHOTO,Universus Photo Imagings Limited
1179,ROHLTD,Royal Orchid Hotels Limited
1180,ABAN,Aban Offshore Limited
1181,BANSWRAS,Banswara Syntex Limited
1182,NILAINFRA,Nila Infrastructures Limited
1183,KREBSBIO,Krebs Biochemicals and Industries Limited
1184,KCPSUGIND,KCP Sugar and Industries Corporation Limited
1185,RAJTV,Raj Television Network Limited
1186,NIRAJ,Niraj Cement Structurals Limited
1187,PREMEXPLN,Premier Explosives Limited
1188,AGARIND,Agarwal Industrial Corporation Limited
1189,DHUNINV,Dhunseri Investments Limited
1190,BBTCL,B&B Triplewall Containers Limited
1191,ESSARSHPNG,Essar Shipping Limited
1192,EMKAY,Emkay Global Financial Services Limited
1193,DCMNVL,DCM Nouvelle Limited
1194,MANGALAM,Mangalam Drugs And Organics Limited
1195,ANDHRACEMT,Andhra Cements Limited
1196,ISMTLTD,ISMT Limited
1197,GREENPOWER,Orient Green Power Company Limited
1198,ORBTEXP,Orbit Exports Limited
1199,BIGBLOC,Bigbloc Construction Limited
1200,SHREYAS,Shreyas Shipping & Logistics Limited
1201,MANAKSTEEL,Manaksia Steels Limited
1202,DONEAR,Donear Industries Limited
1203,CAPTRUST,Capital Trust Limited
1204,BHARATWIRE,Bharat Wire Ropes Limited
1205,KOTHARIPET,Kothari Petrochemicals Limited
1206,3RDROCK,3rd Rock Multimedia Limited
1207,GOODLUCK,Goodluck India Limited
1208,TIL,TIL Limited
1209,WELINV,Welspun Investments and Commercials Limited
1210,BROOKS,Brooks Laboratories Limited
1211,STEL,Stel Holdings Limited
1212,NDL,Nandan Denim Limited
1213,PARACABLES,Paramount Communications Limited
1214,RUCHIRA,Ruchira Papers Limited
1215,AXISCADES,AXISCADES Technologies Limited
1216,ASPINWALL,Aspinwall and Company Limited
1217,SOUTHWEST,South West Pinnacle Exploration Limited
1218,UNITEDTEA,The United Nilgiri Tea Estates Company Limited
1219,SMSLIFE,SMS Lifesciences India Limited
1220,EMMBI,Emmbi Industries Limited
1221,RANASUG,Rana Sugars Limited
1222,APOLSINHOT,Apollo Sindoori Hotels Limited
1223,BSHSL,Bombay Super Hybrid Seeds Limited
1224,ARIHANTSUP,Arihant Superstructures Limited
1225,IRISDOREME,Iris Clothings Limited
1226,DPWIRES,D P Wires Limited
1227,REVATHI,Revathi Equipment Limited
1228,RKEC,RKEC Projects Limited
1229,PIONDIST,Pioneer Distilleries Limited
1230,MAGADSUGAR,Magadh Sugar & Energy Limited
1231,ELECTHERM,Electrotherm (India) Limited
1232,SHREYANIND,Shreyans Industries Limited
1233,MAWANASUG,Mawana Sugars Limited
1234,BHAGYANGR,Bhagyanagar India Limited
1235,HINDMOTORS,Hindustan Motors Limited
1236,NITCO,Nitco Limited
1237,SUNDRMBRAK,Sundaram Brake Linings Limited
1238,GINNIFILA,Ginni Filaments Limited
1239,VIDEOIND,Videocon Industries Limited
1240,OSWALAGRO,Oswal Agro Mills Limited
1241,CEBBCO,Commercial Engineers & Body Builders Co Limited
1242,BALLARPUR,Ballarpur Industries Limited
1243,SUPERHOUSE,Superhouse Limited
1244,MBECL,Mcnally Bharat Engineering Company Limited
1245,WEALTH,Wealth First Portfolio Managers Limited
1246,MARALOVER,Maral Overseas Limited
1247,VIVIMEDLAB,Vivimed Labs Limited
1248,EMKAYTOOLS,Emkay Taps and Cutting Tools Limited
1249,DENORA,De Nora India Limited
1250,ROML,Raj Oil Mills Limited
1251,ELGIRUBCO,Elgi Rubber Company Limited
1252,DANGEE,Dangee Dums Limited
1253,WEBELSOLAR,Websol Energy System Limited
1254,AAKASH,Aakash Exploration Services Limited
1255,KAKATCEM,Kakatiya Cement Sugar & Industries Limited
1256,UMANGDAIRY,Umang Dairies Limited
1257,PRECOT,Precot Limited
1258,CLEDUCATE,CL Educate Limited
1259,RPPINFRA,R.P.P. Infra Projects Limited
1260,JHS,JHS Svendgaard Laboratories Limited
1261,JOCIL,Jocil Limited
1262,PONNIERODE,Ponni Sugars (Erode) Limited
1263,SIL,Standard Industries Limited
1264,IITL,Industrial Investment Trust Limited
1265,AUTOIND,Autoline Industries Limited
1266,KILITCH,Kilitch Drugs (India) Limited
1267,INDTERRAIN,Indian Terrain Fashions Limited
1268,20MICRONS,20 Microns Limited
1269,JMTAUTOLTD,JMT Auto Limited
1270,SKMEGGPROD,SKM Egg Products Export (India) Limited
1271,SEYAIND,Seya Industries Limited
1272,MAHASTEEL,Mahamaya Steel Industries Limited
1273,PASHUPATI,Pashupati Cotspin Limited
1274,LOVABLE,Lovable Lingerie Limited
1275,JBFIND,JBF Industries Limited
1276,CREATIVE,Creative Peripherals and Distribution Limited
1277,RUCHINFRA,Ruchi Infrastructure Limited
1278,COMPINFO,Compuage Infocom Limited
1279,TPLPLASTEH,TPL Plastech Limited
1280,PENTAGOLD,Penta Gold Limited
1281,IVC,IL&FS Investment Managers Limited
1282,PODDARHOUS,Poddar Housing and Development Limited
1283,AHLADA,Ahlada Engineers Limited
1284,RAMASTEEL,Rama Steel Tubes Limited
1285,TOUCHWOOD,Touchwood Entertainment Limited
1286,RHFL,Reliance Home Finance Limited
1287,VIPCLOTHNG,VIP Clothing Limited
1288,ASIANHOTNR,Asian Hotels (North) Limited
1289,SHYAMCENT,Shyam Century Ferrous Limited
1290,BETA,Beta Drugs Limited
1291,MGEL,Mangalam Global Enterprise Limited
1292,MOLDTECH,Mold-Tek Technologies Limited
1293,TCIDEVELOP,TCI Developers Limited
1294,SHRENIK,Shrenik Limited
1295,DRCSYSTEMS,DRC Systems India Limited
1296,ALPHAGEO,Alphageo (India) Limited
1297,SAKUMA,Sakuma Exports Limited
1298,SAKHTISUG,Sakthi Sugars Limited
1299,NOIDATOLL,Noida Toll Bridge Company Limited
1300,NDRAUTO,Ndr Auto Components Limited
1301,SMARTLINK,Smartlink Holdings Limited
1302,HUBTOWN,Hubtown Limited
1303,BPL,BPL Limited
